marital_status,labor_status
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,"widowed,divorced,separated"
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
employed,nevermarried
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,"widowed,divorced,separated"
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
unemployed,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,married
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
notinlaborforce,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
unemployed,nevermarried
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
notinlaborforce,"widowed,divorced,separated"
